solv_i_id,molefrac_i,ln_gamma_i
ref_112 / solvent_527,1 / 0,0 / 0.83
solvent_572 / solvent_705,1 / 0,0 / 2.01
solvent_572 / solvent_535,1 / 0,0 / 2.15
solvent_572 / solvent_337,1 / 0,0 / 1.73
solvent_572 / solvent_527,1 / 0,0 / 2.3
solvent_572 / solvent_677,1 / 0,0 / 2.47
solvent_572 / solvent_262,1 / 0,0 / 0.79
solvent_572 / solvent_782,1 / 0,0 / 0.85
solvent_572 / solvent_161,1 / 0,0 / 1.49
solvent_572 / solvent_560,1 / 0,0 / 1.18
solvent_580 / solvent_446,1 / 0,0 / 0.29
solvent_580 / solvent_92,1 / 0,0 / 0.67
solvent_580 / solvent_62,1 / 0,0 / 0.77
solvent_580 / solvent_89,1 / 0,0 / 1.26
solvent_580 / ref_8,1 / 0,0 / 1.33
solvent_580 / ref_62,1 / 0,0 / 1.44
solvent_580 / solvent_54,1 / 0,0 / 1.22
solvent_580 / solvent_222,1 / 0,0 / 0.64
solvent_580 / solvent_595,1 / 0,0 / 0.59
solvent_580 / solvent_612,1 / 0,0 / 0.45
solvent_580 / solvent_591,1 / 0,0 / 0.55
solvent_580 / solvent_610,1 / 0,0 / 0.7
solvent_580 / solvent_627,1 / 0,0 / 0.9
solvent_580 / solvent_319,1 / 0,0 / 0.85
solvent_580 / solvent_306,1 / 0,0 / 2.03
solvent_580 / solvent_795,1 / 0,0 / -0.02
solvent_583 / solvent_705,1 / 0,0 / 1.53
solvent_583 / solvent_535,1 / 0,0 / 1.77
solvent_583 / solvent_337,1 / 0,0 / 1.66
solvent_583 / ref_34,1 / 0,0 / 1.71
solvent_583 / solvent_527,1 / 0,0 / 1.96
solvent_583 / ref_103,1 / 0,0 / 1.84
solvent_583 / solvent_677,1 / 0,0 / 2.14
solvent_583 / ref_70,1 / 0,0 / 1.93
solvent_583 / ref_144,1 / 0,0 / 2.01
solvent_583 / ref_48,1 / 0,0 / 2.01
solvent_583 / solvent_666,1 / 0,0 / 2.34
ref_77 / solvent_337,1 / 0,0 / 0.3
ref_77 / ref_7,1 / 0,0 / 0.01
solvent_840 / solvent_337,1 / 0,0 / 0.01
solvent_840 / solvent_262,1 / 0,0 / 0.57
solvent_840 / solvent_782,1 / 0,0 / 0.45
ref_38 / solvent_262,1 / 0,0 / 0.55
ref_38 / solvent_782,1 / 0,0 / 0.46
solvent_627 / solvent_337,1 / 0,0 / 1.08
solvent_627 / ref_34,1 / 0,0 / 1.25
solvent_627 / solvent_527,1 / 0,0 / 1.26
solvent_627 / ref_103,1 / 0,0 / 1.28
solvent_627 / solvent_677,1 / 0,0 / 1.4
solvent_627 / ref_70,1 / 0,0 / 1.28
solvent_627 / ref_144,1 / 0,0 / 1.33
solvent_627 / ref_48,1 / 0,0 / 1.25
solvent_627 / solvent_666,1 / 0,0 / 1.5
solvent_627 / ref_32,1 / 0,0 / 1.36
solvent_628 / solvent_446,1 / 0,0 / 3.48
solvent_628 / solvent_54,1 / 0,0 / 0.45
solvent_628 / solvent_595,1 / 0,0 / 1.36
solvent_169 / solvent_337,1 / 0,0 / 0.6
solvent_169 / solvent_527,1 / 0,0 / 0.62
solvent_630 / ref_37,1 / 0,0 / -0.15
solvent_447 / solvent_705,1 / 0,0 / 5.95
solvent_447 / solvent_343,1 / 0,0 / 4.79
solvent_447 / solvent_535,1 / 0,0 / 6.31
solvent_447 / solvent_337,1 / 0,0 / 5.2
solvent_447 / solvent_527,1 / 0,0 / 6.55
solvent_447 / ref_28,1 / 0,0 / 5.48
solvent_447 / solvent_677,1 / 0,0 / 7.07
solvent_447 / ref_114,1 / 0,0 / 5.84
solvent_447 / solvent_666,1 / 0,0 / 7.38
solvent_447 / solvent_262,1 / 0,0 / 2.87
solvent_447 / solvent_782,1 / 0,0 / 3.38
solvent_447 / ref_125,1 / 0,0 / 4.02
solvent_447 / ref_54,1 / 0,0 / 3.99
solvent_447 / solvent_687,1 / 0,0 / 3.86
solvent_447 / solvent_81,1 / 0,0 / 5.46
solvent_447 / solvent_80,1 / 0,0 / 5.86
solvent_447 / solvent_88,1 / 0,0 / 6.31
solvent_447 / ref_37,1 / 0,0 / 3.69
solvent_447 / ref_122,1 / 0,0 / 4.19
solvent_447 / ref_147,1 / 0,0 / 4.71
ref_125 / solvent_337,1 / 0,0 / 0.39
ref_85 / solvent_705,1 / 0,0 / 0.21
ref_85 / solvent_535,1 / 0,0 / 0.27
ref_85 / solvent_337,1 / 0,0 / 0.01
ref_85 / solvent_527,1 / 0,0 / 0.31
ref_85 / solvent_262,1 / 0,0 / -0.51
ref_85 / solvent_580,1 / 0,0 / -0.39
ref_85 / solvent_449,1 / 0,0 / 0.15
ref_85 / solvent_296,1 / 0,0 / -0.42
ref_85 / solvent_376,1 / 0,0 / -0.04
ref_85 / solvent_222,1 / 0,0 / 0.13
ref_85 / solvent_627,1 / 0,0 / -1.43
ref_85 / solvent_306,1 / 0,0 / -0.58
solvent_638 / solvent_705,1 / 0,0 / 2.17
solvent_638 / solvent_535,1 / 0,0 / 2.43
solvent_638 / solvent_337,1 / 0,0 / 2.08
solvent_638 / ref_34,1 / 0,0 / 2.38
solvent_638 / solvent_527,1 / 0,0 / 2.65
solvent_638 / ref_103,1 / 0,0 / 2.6
solvent_638 / solvent_677,1 / 0,0 / 2.9
solvent_638 / ref_70,1 / 0,0 / 2.66
solvent_638 / ref_144,1 / 0,0 / 2.85
solvent_638 / ref_48,1 / 0,0 / 2.53
solvent_638 / solvent_666,1 / 0,0 / 3.15
solvent_638 / ref_32,1 / 0,0 / 2.75
solvent_638 / solvent_262,1 / 0,0 / 0.36
solvent_638 / solvent_782,1 / 0,0 / 0.47
solvent_638 / solvent_90,1 / 0,0 / 1.6
solvent_638 / solvent_446,1 / 0,0 / -0.69
solvent_638 / solvent_54,1 / 0,0 / 0.17
solvent_638 / solvent_595,1 / 0,0 / 0.14
solvent_418 / solvent_535,1 / 0,0 / 2.97
solvent_418 / solvent_262,1 / 0,0 / 0.34
solvent_418 / solvent_705,1 / 0,0 / 2.64
solvent_418 / solvent_337,1 / 0,0 / 2.65
solvent_418 / ref_34,1 / 0,0 / 2.96
solvent_418 / ref_38,1 / 0,0 / 2.51
solvent_418 / solvent_527,1 / 0,0 / 3.35
solvent_418 / ref_103,1 / 0,0 / 3.24
solvent_418 / ref_28,1 / 0,0 / 2.91
solvent_418 / solvent_840,1 / 0,0 / 2.75
solvent_418 / solvent_677,1 / 0,0 / 3.61
solvent_418 / ref_114,1 / 0,0 / 3.25
solvent_418 / solvent_95,1 / 0,0 / 3.35
solvent_418 / ref_70,1 / 0,0 / 3.35
solvent_418 / ref_144,1 / 0,0 / 3.34
solvent_418 / ref_48,1 / 0,0 / 3.19
solvent_418 / solvent_666,1 / 0,0 / 3.99
solvent_418 / ref_32,1 / 0,0 / 3.73
solvent_418 / solvent_782,1 / 0,0 / 0.65
solvent_418 / solvent_90,1 / 0,0 / 2.05
solvent_418 / solvent_81,1 / 0,0 / 2.31
solvent_418 / ref_104,1 / 0,0 / 1.76
solvent_418 / solvent_80,1 / 0,0 / 2.56
solvent_418 / solvent_88,1 / 0,0 / 2.83
solvent_418 / ref_37,1 / 0,0 / 0.84
solvent_418 / ref_122,1 / 0,0 / 1.12
solvent_418 / ref_147,1 / 0,0 / 1.38
ref_149 / ref_125,1 / 0,0 / -0.27
ref_149 / ref_54,1 / 0,0 / -0.3
ref_149 / solvent_454,1 / 0,0 / -0.22
ref_149 / ref_102,1 / 0,0 / -0.17
ref_149 / solvent_575,1 / 0,0 / -0.26
ref_149 / ref_109,1 / 0,0 / -0.15
solvent_297 / solvent_337,1 / 0,0 / 1.13
solvent_62 / solvent_705,1 / 0,0 / 1.44
solvent_62 / solvent_535,1 / 0,0 / 1.61
solvent_62 / solvent_527,1 / 0,0 / 1.75
solvent_62 / solvent_677,1 / 0,0 / 1.87
solvent_62 / solvent_337,1 / 0,0 / 1.44
solvent_62 / ref_34,1 / 0,0 / 1.61
solvent_62 / ref_103,1 / 0,0 / 1.72
solvent_62 / ref_70,1 / 0,0 / 1.78
solvent_62 / ref_144,1 / 0,0 / 1.85
solvent_62 / ref_48,1 / 0,0 / 1.76
solvent_62 / solvent_666,1 / 0,0 / 2.13
solvent_62 / ref_32,1 / 0,0 / 1.83
solvent_62 / solvent_262,1 / 0,0 / 1.07
solvent_62 / solvent_782,1 / 0,0 / 1.23
solvent_62 / solvent_90,1 / 0,0 / 1.24
solvent_62 / solvent_194,1 / 0,0 / 1.21
solvent_62 / solvent_560,1 / 0,0 / 1.05
solvent_62 / solvent_81,1 / 0,0 / 1.55
solvent_650 / solvent_527,1 / 0,0 / 0.89
solvent_650 / solvent_454,1 / 0,0 / 0.41
solvent_73 / solvent_726,1 / 0,0 / 0.02
solvent_73 / ref_74,1 / 0,0 / 0
solvent_73 / solvent_627,1 / 0,0 / 0.02
solvent_73 / solvent_319,1 / 0,0 / -0.07
solvent_73 / solvent_455,1 / 0,0 / 0.02
solvent_73 / solvent_664,1 / 0,0 / 1.65
solvent_73 / solvent_466,1 / 0,0 / 0.25
solvent_73 / solvent_304,1 / 0,0 / 0.44
ref_5 / solvent_705,1 / 0,0 / 0.01
ref_5 / solvent_535,1 / 0,0 / 0.09
ref_5 / solvent_262,1 / 0,0 / -0.05
ref_5 / ref_125,1 / 0,0 / -0.27
ref_5 / ref_54,1 / 0,0 / -0.3
ref_5 / solvent_687,1 / 0,0 / -0.26
ref_5 / solvent_454,1 / 0,0 / -0.2
ref_5 / ref_102,1 / 0,0 / -0.16
ref_5 / solvent_575,1 / 0,0 / -0.24
ref_5 / ref_109,1 / 0,0 / -0.13
ref_5 / solvent_90,1 / 0,0 / -0.08
ref_5 / solvent_81,1 / 0,0 / -0.05
ref_5 / solvent_80,1 / 0,0 / -0.02
solvent_350 / solvent_705,1 / 0,0 / -0.13
solvent_350 / solvent_535,1 / 0,0 / -0.03
solvent_350 / solvent_337,1 / 0,0 / -0.07
solvent_350 / ref_34,1 / 0,0 / -0.02
solvent_350 / solvent_527,1 / 0,0 / -0.03
solvent_350 / ref_103,1 / 0,0 / 0.02
solvent_350 / solvent_677,1 / 0,0 / 0.03
solvent_350 / ref_70,1 / 0,0 / -0.01
solvent_350 / ref_144,1 / 0,0 / 0.06
solvent_350 / ref_48,1 / 0,0 / 0.01
solvent_350 / solvent_666,1 / 0,0 / 0.17
solvent_350 / ref_32,1 / 0,0 / 0.05
solvent_350 / solvent_262,1 / 0,0 / 0.4
solvent_350 / solvent_782,1 / 0,0 / 0.23
solvent_350 / solvent_446,1 / 0,0 / 3.74
solvent_350 / solvent_54,1 / 0,0 / 1.15
solvent_350 / solvent_595,1 / 0,0 / 1.42
solvent_74 / solvent_535,1 / 0,0 / 0.85
solvent_439 / solvent_705,1 / 0,0 / -0.08
solvent_439 / solvent_343,1 / 0,0 / -0.14
solvent_439 / solvent_535,1 / 0,0 / -0.01
solvent_439 / solvent_337,1 / 0,0 / -0.08
solvent_439 / ref_34,1 / 0,0 / 0.02
solvent_439 / solvent_527,1 / 0,0 / 0.02
solvent_439 / ref_103,1 / 0,0 / 0.07
solvent_439 / solvent_677,1 / 0,0 / 0.04
solvent_439 / ref_70,1 / 0,0 / 0.01
solvent_439 / ref_144,1 / 0,0 / 0.09
solvent_439 / ref_48,1 / 0,0 / -0.03
solvent_439 / solvent_666,1 / 0,0 / 0.06
solvent_439 / solvent_262,1 / 0,0 / 0.25
ref_129 / solvent_705,1 / 0,0 / 0.67
ref_129 / solvent_535,1 / 0,0 / 0.76
ref_129 / solvent_337,1 / 0,0 / 0.57
ref_129 / solvent_527,1 / 0,0 / 0.86
ref_129 / solvent_840,1 / 0,0 / 0.64
ref_129 / solvent_95,1 / 0,0 / 0.71
ref_129 / solvent_262,1 / 0,0 / 0.81
ref_129 / solvent_90,1 / 0,0 / 0.59
ref_129 / solvent_81,1 / 0,0 / 0.71
ref_129 / solvent_80,1 / 0,0 / 0.79
ref_129 / solvent_726,1 / 0,0 / 0.65
ref_129 / solvent_73,1 / 0,0 / 0.7
ref_17 / solvent_583,1 / 0,0 / 0.94
solvent_446 / solvent_705,1 / 0,0 / 2.14
solvent_446 / solvent_535,1 / 0,0 / 2.41
solvent_446 / solvent_527,1 / 0,0 / 2.53
solvent_446 / solvent_677,1 / 0,0 / 2.77
solvent_446 / solvent_262,1 / 0,0 / 1.67
solvent_446 / solvent_337,1 / 0,0 / 2.2
solvent_446 / ref_34,1 / 0,0 / 2.33
solvent_446 / ref_103,1 / 0,0 / 2.43
solvent_446 / solvent_95,1 / 0,0 / 2.63
solvent_446 / ref_70,1 / 0,0 / 2.58
solvent_446 / ref_144,1 / 0,0 / 2.66
solvent_446 / ref_48,1 / 0,0 / 2.6
solvent_446 / solvent_666,1 / 0,0 / 3.01
solvent_446 / ref_32,1 / 0,0 / 2.61
solvent_446 / solvent_782,1 / 0,0 / 1.75
ref_81 / solvent_705,1 / 0,0 / 1.97
ref_81 / solvent_535,1 / 0,0 / 2.13
ref_81 / solvent_337,1 / 0,0 / 1.7
ref_81 / solvent_527,1 / 0,0 / 2.3
ref_81 / solvent_677,1 / 0,0 / 2.47
ref_81 / solvent_262,1 / 0,0 / -0.15
ref_81 / solvent_782,1 / 0,0 / 0.11
ref_81 / solvent_90,1 / 0,0 / 1.4
ref_81 / solvent_81,1 / 0,0 / 1.56
ref_81 / ref_104,1 / 0,0 / 1.12
ref_81 / solvent_80,1 / 0,0 / 1.68
ref_81 / solvent_88,1 / 0,0 / 1.81
ref_81 / solvent_296,1 / 0,0 / 0.25
ref_81 / solvent_630,1 / 0,0 / 1.07
ref_81 / ref_128,1 / 0,0 / 1.39
ref_81 / ref_53,1 / 0,0 / 1.19
ref_81 / solvent_376,1 / 0,0 / 1.05
ref_81 / solvent_564,1 / 0,0 / 1.55
ref_81 / solvent_222,1 / 0,0 / 0.2
ref_81 / solvent_595,1 / 0,0 / 0.19
ref_81 / solvent_612,1 / 0,0 / 0.23
ref_81 / solvent_216,1 / 0,0 / 0.08
ref_81 / solvent_627,1 / 0,0 / -1.31
ref_22 / solvent_535,1 / 0,0 / 3.95
ref_22 / solvent_337,1 / 0,0 / 3.25
ref_22 / solvent_527,1 / 0,0 / 4.19
ref_22 / solvent_677,1 / 0,0 / 4.55
ref_22 / solvent_666,1 / 0,0 / 4.81
ref_22 / solvent_262,1 / 0,0 / 0.93
ref_22 / solvent_782,1 / 0,0 / 1.3
solvent_527 / solvent_535,1 / 0,0 / 0.01
solvent_527 / solvent_262,1 / 0,0 / 0.52
solvent_527 / solvent_705,1 / 0,0 / -0.05
solvent_527 / solvent_343,1 / 0,0 / 0.09
solvent_527 / solvent_337,1 / 0,0 / 0.09
solvent_527 / ref_34,1 / 0,0 / 0
solvent_527 / solvent_527,1 / 0,0 / 0.05
solvent_527 / ref_103,1 / 0,0 / 0.04
solvent_527 / ref_28,1 / 0,0 / 0.2
solvent_527 / solvent_677,1 / 0,0 / 0.05
solvent_527 / ref_114,1 / 0,0 / 0.26
solvent_527 / ref_70,1 / 0,0 / 0.04
solvent_527 / ref_144,1 / 0,0 / 0.1
solvent_527 / ref_48,1 / 0,0 / 0.09
solvent_527 / solvent_666,1 / 0,0 / 0.06
solvent_527 / ref_123,1 / 0,0 / 0.22
solvent_527 / solvent_782,1 / 0,0 / 0.32
solvent_527 / ref_54,1 / 0,0 / 0.33
solvent_527 / solvent_454,1 / 0,0 / 0.43
solvent_527 / solvent_753,1 / 0,0 / 0.33
solvent_527 / solvent_90,1 / 0,0 / -0.02
solvent_527 / solvent_194,1 / 0,0 / -0.03
solvent_527 / solvent_560,1 / 0,0 / 0.03
solvent_527 / solvent_580,1 / 0,0 / 4.3
solvent_527 / solvent_446,1 / 0,0 / 3.9
solvent_527 / solvent_92,1 / 0,0 / 3.71
solvent_527 / solvent_62,1 / 0,0 / 3.61
solvent_527 / solvent_449,1 / 0,0 / 1.17
solvent_527 / solvent_647,1 / 0,0 / 1.02
solvent_527 / solvent_54,1 / 0,0 / 1.34
solvent_527 / ref_128,1 / 0,0 / 0.19
solvent_527 / solvent_222,1 / 0,0 / 1.91
solvent_527 / solvent_595,1 / 0,0 / 1.51
solvent_527 / solvent_334,1 / 0,0 / 2
solvent_527 / solvent_288,1 / 0,0 / 2.25
solvent_527 / ref_88,1 / 0,0 / 3.52
solvent_527 / solvent_726,1 / 0,0 / 0.38
solvent_527 / ref_74,1 / 0,0 / 0.36
solvent_527 / solvent_627,1 / 0,0 / 0.77
solvent_527 / solvent_319,1 / 0,0 / 0.38
solvent_527 / solvent_306,1 / 0,0 / 0.18
solvent_527 / solvent_455,1 / 0,0 / 0.48
solvent_527 / solvent_225,1 / 0,0 / 3.57
solvent_527 / solvent_723,1 / 0,0 / 3.03
solvent_527 / solvent_300,1 / 0,0 / 2.5
solvent_527 / solvent_664,1 / 0,0 / 3.65
solvent_527 / solvent_662,1 / 0,0 / 2.93
solvent_527 / solvent_707,1 / 0,0 / 3.43
solvent_527 / solvent_466,1 / 0,0 / 0.63
solvent_527 / solvent_650,1 / 0,0 / 0.24
solvent_527 / solvent_304,1 / 0,0 / 0.25
solvent_527 / solvent_169,1 / 0,0 / 0.4
solvent_527 / solvent_380,1 / 0,0 / 0.44
solvent_527 / ref_152,1 / 0,0 / 0.31
solvent_527 / solvent_107,1 / 0,0 / 0.74
solvent_527 / solvent_381,1 / 0,0 / 0.74
solvent_527 / ref_92,1 / 0,0 / 0.69
ref_62 / solvent_705,1 / 0,0 / 1.07
ref_62 / solvent_535,1 / 0,0 / 1.13
ref_62 / solvent_343,1 / 0,0 / 0.8
ref_62 / solvent_337,1 / 0,0 / 0.92
ref_62 / ref_38,1 / 0,0 / 0.94
ref_62 / solvent_262,1 / 0,0 / 0.75
solvent_530 / solvent_705,1 / 0,0 / -0.18
solvent_530 / solvent_558,1 / 0,0 / -0.12
solvent_530 / solvent_535,1 / 0,0 / -0.11
solvent_530 / solvent_337,1 / 0,0 / -0.25
solvent_530 / ref_34,1 / 0,0 / -0.11
solvent_530 / ref_157,1 / 0,0 / -0.17
solvent_530 / ref_1,1 / 0,0 / -0.16
solvent_530 / ref_25,1 / 0,0 / -0.09
solvent_530 / solvent_527,1 / 0,0 / -0.08
solvent_530 / solvent_677,1 / 0,0 / -0.05
solvent_530 / solvent_262,1 / 0,0 / 0.07
solvent_530 / solvent_343,1 / 0,0 / -0.34
solvent_530 / ref_103,1 / 0,0 / -0.04
solvent_530 / solvent_95,1 / 0,0 / -0.03
solvent_530 / ref_70,1 / 0,0 / -0.1
solvent_530 / ref_144,1 / 0,0 / 0.02
solvent_530 / ref_48,1 / 0,0 / -0.19
solvent_530 / solvent_666,1 / 0,0 / -0.02
solvent_530 / ref_32,1 / 0,0 / -0.07
solvent_530 / solvent_782,1 / 0,0 / -0.02
solvent_530 / ref_125,1 / 0,0 / 0.05
solvent_530 / ref_54,1 / 0,0 / 0.01
solvent_530 / solvent_687,1 / 0,0 / 0.1
solvent_530 / solvent_454,1 / 0,0 / 0.13
solvent_530 / solvent_575,1 / 0,0 / 0.02
solvent_530 / solvent_90,1 / 0,0 / -0.06
solvent_530 / solvent_81,1 / 0,0 / -0.05
solvent_530 / solvent_80,1 / 0,0 / -0.04
solvent_530 / solvent_88,1 / 0,0 / -0.06
solvent_530 / ref_66,1 / 0,0 / 0.17
solvent_530 / solvent_580,1 / 0,0 / 4.09
solvent_530 / solvent_446,1 / 0,0 / 3.55
solvent_530 / solvent_92,1 / 0,0 / 3.19
solvent_530 / solvent_167,1 / 0,0 / 3.1
solvent_530 / solvent_62,1 / 0,0 / 3.15
solvent_530 / solvent_127,1 / 0,0 / 2.82
solvent_530 / solvent_159,1 / 0,0 / 3.24
solvent_530 / solvent_760,1 / 0,0 / 2.67
solvent_530 / solvent_89,1 / 0,0 / 3.12
solvent_530 / ref_33,1 / 0,0 / 3.26
solvent_530 / ref_8,1 / 0,0 / 2.94
solvent_530 / solvent_87,1 / 0,0 / 3.01
solvent_530 / solvent_710,1 / 0,0 / 3.07
solvent_530 / solvent_572,1 / 0,0 / 3.04
solvent_530 / solvent_583,1 / 0,0 / 0.54
solvent_530 / solvent_615,1 / 0,0 / -0.07
solvent_530 / ref_68,1 / 0,0 / -0.22
solvent_530 / ref_134,1 / 0,0 / -0.26
solvent_530 / ref_119,1 / 0,0 / -0.49
solvent_530 / solvent_449,1 / 0,0 / 0.38
solvent_530 / ref_11,1 / 0,0 / -0.58
solvent_530 / solvent_669,1 / 0,0 / 0.41
solvent_530 / solvent_647,1 / 0,0 / 0.31
solvent_530 / solvent_256,1 / 0,0 / -0.24
solvent_530 / solvent_296,1 / 0,0 / 0.17
solvent_530 / solvent_54,1 / 0,0 / 0.88
solvent_530 / solvent_376,1 / 0,0 / 0.03
solvent_530 / solvent_259,1 / 0,0 / 0.76
solvent_530 / solvent_595,1 / 0,0 / 1.23
solvent_530 / solvent_612,1 / 0,0 / 1.15
solvent_530 / solvent_226,1 / 0,0 / 1.73
solvent_530 / solvent_719,1 / 0,0 / 1.12
solvent_530 / solvent_297,1 / 0,0 / 1.06
solvent_530 / solvent_726,1 / 0,0 / 0.15
solvent_530 / solvent_73,1 / 0,0 / 0.19
solvent_530 / ref_74,1 / 0,0 / 0.27
solvent_530 / solvent_627,1 / 0,0 / 0.36
solvent_530 / solvent_319,1 / 0,0 / 0.08
solvent_530 / solvent_306,1 / 0,0 / -0.19
solvent_530 / solvent_317,1 / 0,0 / 0.22
solvent_530 / solvent_455,1 / 0,0 / 0.25
solvent_530 / solvent_225,1 / 0,0 / 2.98
solvent_530 / solvent_723,1 / 0,0 / 2.54
solvent_530 / solvent_300,1 / 0,0 / 2.26
solvent_530 / solvent_664,1 / 0,0 / 3.1
solvent_530 / solvent_662,1 / 0,0 / 2.57
solvent_530 / solvent_162,1 / 0,0 / 2.3
solvent_530 / solvent_466,1 / 0,0 / 0.22
solvent_530 / solvent_374,1 / 0,0 / 0.1
solvent_530 / solvent_431,1 / 0,0 / 0.11
solvent_530 / solvent_795,1 / 0,0 / -0.07
solvent_535 / solvent_262,1 / 0,0 / 0.52
solvent_535 / solvent_705,1 / 0,0 / -0.04
solvent_535 / solvent_337,1 / 0,0 / 0.12
solvent_535 / ref_34,1 / 0,0 / -0.03
solvent_535 / solvent_527,1 / 0,0 / -0.01
solvent_535 / ref_103,1 / 0,0 / -0.12
solvent_535 / solvent_677,1 / 0,0 / 0.06
solvent_535 / ref_70,1 / 0,0 / 0.07
solvent_535 / ref_144,1 / 0,0 / 0.07
solvent_535 / ref_48,1 / 0,0 / 0.16
solvent_535 / solvent_666,1 / 0,0 / 0.08
solvent_535 / ref_32,1 / 0,0 / 0.03
solvent_535 / solvent_782,1 / 0,0 / 0.5
solvent_535 / solvent_446,1 / 0,0 / 4.01
solvent_535 / solvent_92,1 / 0,0 / 3.78
solvent_535 / solvent_167,1 / 0,0 / 3.44
solvent_535 / solvent_62,1 / 0,0 / 3.59
solvent_535 / solvent_449,1 / 0,0 / 1.23
solvent_535 / solvent_669,1 / 0,0 / 0.24
solvent_535 / solvent_296,1 / 0,0 / 0.52
solvent_535 / solvent_54,1 / 0,0 / 1.39
solvent_535 / ref_128,1 / 0,0 / 0.16
solvent_535 / solvent_222,1 / 0,0 / 1.9
solvent_535 / solvent_595,1 / 0,0 / 1.49
solvent_535 / solvent_73,1 / 0,0 / 0.43
solvent_535 / ref_74,1 / 0,0 / 0.39
solvent_535 / solvent_481,1 / 0,0 / 1.15
solvent_535 / solvent_319,1 / 0,0 / 0.48
solvent_535 / solvent_306,1 / 0,0 / 0.17
solvent_535 / solvent_455,1 / 0,0 / 0.52
solvent_535 / solvent_723,1 / 0,0 / 2.92
solvent_535 / solvent_300,1 / 0,0 / 2.36
solvent_535 / solvent_662,1 / 0,0 / 3.02
solvent_535 / ref_138,1 / 0,0 / 2.89
solvent_535 / solvent_466,1 / 0,0 / 0.73
solvent_535 / solvent_795,1 / 0,0 / 0.1
ref_75 / ref_125,1 / 0,0 / -0.25
ref_75 / ref_54,1 / 0,0 / -0.27
ref_75 / solvent_687,1 / 0,0 / -0.26
ref_75 / solvent_454,1 / 0,0 / -0.2
ref_75 / ref_102,1 / 0,0 / -0.15
ref_75 / solvent_575,1 / 0,0 / -0.22
ref_75 / ref_109,1 / 0,0 / -0.12
solvent_661 / solvent_535,1 / 0,0 / 2.02
solvent_661 / solvent_262,1 / 0,0 / 0.28
solvent_661 / solvent_705,1 / 0,0 / 1.86
solvent_661 / solvent_337,1 / 0,0 / 1.76
solvent_661 / ref_34,1 / 0,0 / 2.07
solvent_661 / solvent_527,1 / 0,0 / 2.2
solvent_661 / ref_103,1 / 0,0 / 2.26
solvent_661 / solvent_840,1 / 0,0 / 1.94
solvent_661 / solvent_677,1 / 0,0 / 2.32
solvent_661 / solvent_95,1 / 0,0 / 2.42
solvent_661 / ref_70,1 / 0,0 / 2.26
solvent_661 / ref_144,1 / 0,0 / 2.48
solvent_661 / ref_48,1 / 0,0 / 2.05
solvent_661 / solvent_666,1 / 0,0 / 2.52
solvent_661 / ref_32,1 / 0,0 / 2.33
solvent_661 / solvent_782,1 / 0,0 / 0.34
solvent_661 / solvent_90,1 / 0,0 / 1.48
solvent_661 / solvent_161,1 / 0,0 / 1.25
solvent_661 / solvent_194,1 / 0,0 / 1.29
solvent_661 / solvent_560,1 / 0,0 / 0.87
solvent_661 / solvent_580,1 / 0,0 / 2.3
solvent_661 / solvent_446,1 / 0,0 / 2.21
solvent_661 / solvent_449,1 / 0,0 / 0.31
solvent_661 / solvent_54,1 / 0,0 / -0.2
solvent_661 / solvent_222,1 / 0,0 / 0.22
solvent_661 / solvent_595,1 / 0,0 / 0.04
solvent_661 / solvent_726,1 / 0,0 / 0.58
solvent_661 / ref_74,1 / 0,0 / 0.86
solvent_661 / solvent_627,1 / 0,0 / -0.01
solvent_661 / solvent_319,1 / 0,0 / 0.02
solvent_661 / solvent_306,1 / 0,0 / 0.8
solvent_661 / solvent_455,1 / 0,0 / 0.4
solvent_661 / solvent_466,1 / 0,0 / 0.59
solvent_661 / solvent_795,1 / 0,0 / 1.38
solvent_661 / solvent_304,1 / 0,0 / 0.95
solvent_662 / solvent_677,1 / 0,0 / 3.04
solvent_662 / solvent_262,1 / 0,0 / 0.59
solvent_662 / solvent_782,1 / 0,0 / 0.73
solvent_662 / solvent_90,1 / 0,0 / 1.62
solvent_662 / solvent_194,1 / 0,0 / 1.58
solvent_662 / solvent_560,1 / 0,0 / 0.91
solvent_662 / solvent_580,1 / 0,0 / 1.77
solvent_662 / solvent_446,1 / 0,0 / 1.88
solvent_662 / solvent_54,1 / 0,0 / -0.13
solvent_662 / solvent_595,1 / 0,0 / -0.13
solvent_662 / solvent_726,1 / 0,0 / 0.63
solvent_662 / ref_74,1 / 0,0 / 0.83
solvent_662 / solvent_627,1 / 0,0 / -0.08
solvent_662 / solvent_319,1 / 0,0 / 0
solvent_662 / solvent_306,1 / 0,0 / 1.35
solvent_662 / solvent_455,1 / 0,0 / 0.52
solvent_662 / solvent_466,1 / 0,0 / 1.01
solvent_662 / solvent_304,1 / 0,0 / 1.59
solvent_664 / solvent_535,1 / 0,0 / 3.82
solvent_664 / solvent_262,1 / 0,0 / 1.22
solvent_664 / solvent_705,1 / 0,0 / 3.43
solvent_664 / solvent_337,1 / 0,0 / 3.55
solvent_664 / ref_34,1 / 0,0 / 3.76
solvent_664 / solvent_527,1 / 0,0 / 4.35
solvent_664 / ref_103,1 / 0,0 / 4.08
solvent_664 / solvent_677,1 / 0,0 / 4.77
solvent_664 / ref_70,1 / 0,0 / 4.31
solvent_664 / ref_144,1 / 0,0 / 4.57
solvent_664 / ref_48,1 / 0,0 / 4.31
