solv_i_id,molefrac_i,ln_gamma_i
solvent_87 / solvent_723,1 / 0,0 / 1.82
solvent_87 / solvent_466,1 / 0,0 / 0.82
solvent_87 / solvent_304,1 / 0,0 / 0.55
solvent_88 / solvent_705,1 / 0,0 / -0.03
solvent_88 / solvent_535,1 / 0,0 / 0.02
solvent_88 / solvent_337,1 / 0,0 / 0.04
solvent_88 / ref_34,1 / 0,0 / 0.04
solvent_88 / solvent_527,1 / 0,0 / 0.05
solvent_88 / ref_103,1 / 0,0 / 0.07
solvent_88 / solvent_677,1 / 0,0 / 0.12
solvent_88 / ref_70,1 / 0,0 / 0.07
solvent_88 / ref_144,1 / 0,0 / 0.09
solvent_88 / ref_48,1 / 0,0 / 0.11
solvent_88 / solvent_666,1 / 0,0 / 0.17
solvent_89 / solvent_446,1 / 0,0 / 0.08
solvent_89 / solvent_222,1 / 0,0 / 0.94
solvent_89 / solvent_595,1 / 0,0 / 0.9
solvent_89 / solvent_627,1 / 0,0 / 0.8
solvent_89 / solvent_319,1 / 0,0 / 0.41
solvent_92 / solvent_446,1 / 0,0 / -0.08
solvent_92 / solvent_54,1 / 0,0 / 0.88
solvent_92 / solvent_595,1 / 0,0 / 0.82
solvent_92 / ref_138,1 / 0,0 / 5.42
solvent_92 / solvent_707,1 / 0,0 / 5.99
solvent_92 / solvent_795,1 / 0,0 / -0.11
ref_96 / solvent_337,1 / 0,0 / 0.63
ref_96 / solvent_527,1 / 0,0 / 0.69
solvent_95 / solvent_705,1 / 0,0 / -0.09
solvent_95 / solvent_535,1 / 0,0 / -0.01
solvent_95 / solvent_337,1 / 0,0 / 0.06
solvent_95 / ref_34,1 / 0,0 / -0.02
solvent_95 / solvent_527,1 / 0,0 / 0.07
solvent_95 / ref_103,1 / 0,0 / 0.02
solvent_95 / solvent_677,1 / 0,0 / 0.05
solvent_95 / ref_70,1 / 0,0 / 0.05
solvent_95 / ref_144,1 / 0,0 / 0.06
solvent_95 / ref_48,1 / 0,0 / 0.15
solvent_95 / solvent_666,1 / 0,0 / 0.18
solvent_95 / ref_32,1 / 0,0 / 0.01
solvent_95 / solvent_782,1 / 0,0 / 0.45
solvent_95 / solvent_90,1 / 0,0 / -0.01
solvent_95 / solvent_194,1 / 0,0 / -0.03
solvent_95 / solvent_560,1 / 0,0 / -0.02
solvent_95 / solvent_580,1 / 0,0 / 4.28
solvent_95 / solvent_446,1 / 0,0 / 3.8
solvent_95 / solvent_449,1 / 0,0 / 1.12
solvent_95 / solvent_296,1 / 0,0 / 0.3
solvent_95 / solvent_54,1 / 0,0 / 1.27
solvent_95 / solvent_222,1 / 0,0 / 1.93
solvent_95 / solvent_595,1 / 0,0 / 1.43
solvent_95 / solvent_726,1 / 0,0 / 0.38
solvent_95 / solvent_627,1 / 0,0 / 0.74
solvent_95 / solvent_319,1 / 0,0 / 0.41
solvent_95 / solvent_455,1 / 0,0 / 0.48
solvent_95 / solvent_723,1 / 0,0 / 2.94
solvent_95 / solvent_662,1 / 0,0 / 2.89
solvent_95 / solvent_466,1 / 0,0 / 0.62
solvent_95 / solvent_304,1 / 0,0 / 0.28
solvent_288 / solvent_527,1 / 0,0 / 2.6
ref_1 / solvent_343,1 / 0,0 / 0.03
ref_26 / solvent_535,1 / 0,0 / 2.56
ref_26 / solvent_262,1 / 0,0 / 0.18
solvent_114 / solvent_705,1 / 0,0 / 1.56
solvent_114 / solvent_90,1 / 0,0 / 1.01
ref_88 / solvent_527,1 / 0,0 / 2.85
ref_156 / solvent_527,1 / 0,0 / 0.91
ref_156 / solvent_677,1 / 0,0 / 1.1
solvent_127 / solvent_535,1 / 0,0 / 2.02
solvent_127 / solvent_262,1 / 0,0 / 1.28
solvent_595 / solvent_535,1 / 0,0 / 1.38
solvent_595 / solvent_262,1 / 0,0 / 0.11
solvent_595 / solvent_705,1 / 0,0 / 1.26
solvent_595 / solvent_337,1 / 0,0 / 1.38
solvent_595 / ref_34,1 / 0,0 / 1.36
solvent_595 / solvent_527,1 / 0,0 / 1.45
solvent_595 / ref_103,1 / 0,0 / 3
solvent_595 / solvent_840,1 / 0,0 / 1.45
solvent_595 / solvent_677,1 / 0,0 / 1.67
solvent_595 / ref_70,1 / 0,0 / 1.52
solvent_595 / ref_144,1 / 0,0 / 1.59
solvent_595 / ref_48,1 / 0,0 / 1.57
solvent_595 / solvent_666,1 / 0,0 / 1.82
solvent_595 / solvent_782,1 / 0,0 / 0.29
solvent_595 / solvent_446,1 / 0,0 / 0.86
solvent_595 / solvent_449,1 / 0,0 / 0.11
solvent_595 / solvent_54,1 / 0,0 / 0.16
solvent_595 / solvent_664,1 / 0,0 / 0.25
solvent_595 / solvent_795,1 / 0,0 / 1
solvent_493 / solvent_535,1 / 0,0 / 1.48
solvent_493 / solvent_337,1 / 0,0 / 1.08
solvent_493 / ref_38,1 / 0,0 / 1.08
solvent_493 / solvent_527,1 / 0,0 / 1.52
solvent_493 / solvent_840,1 / 0,0 / 1.26
solvent_493 / solvent_677,1 / 0,0 / 1.68
solvent_493 / ref_114,1 / 0,0 / 1.44
solvent_493 / solvent_666,1 / 0,0 / 1.81
solvent_493 / solvent_350,1 / 0,0 / 2.05
solvent_493 / ref_3,1 / 0,0 / 2.34
solvent_493 / solvent_262,1 / 0,0 / 0.41
solvent_493 / solvent_782,1 / 0,0 / 0.59
solvent_493 / ref_125,1 / 0,0 / 0.79
solvent_493 / ref_54,1 / 0,0 / 1.21
solvent_493 / solvent_454,1 / 0,0 / 0.77
solvent_493 / ref_104,1 / 0,0 / 0.84
solvent_493 / ref_121,1 / 0,0 / 0.83
solvent_493 / ref_74,1 / 0,0 / 0.57
solvent_493 / solvent_317,1 / 0,0 / 0.38
solvent_493 / solvent_680,1 / 0,0 / 0.64
